,Original,Porter,Lancaster,Snowball
981,kneeled,kneel,kneel,kneel
982,peeled,peel,peel,peel
983,reeled,reel,reel,reel
984,steeled,steel,steel,steel
985,paralleled,parallel,parallel,parallel
986,unparalleled,unparallel,unparallel,unparallel
987,untrammeled,untrammel,untrammel,untrammel
988,pummeled,pummel,pummel,pummel
989,paneled,panel,panel,panel
990,channeled,channel,channel,channel
991,funneled,funnel,funnel,funnel
992,tunneled,tunnel,tunnel,tunnel
993,appareled,apparel,apparel,apparel
994,quarreled,quarrel,quarrel,quarrel
995,chiseled,chisel,chisel,chisel
996,counseled,counsel,counsel,counsel
997,fueled,fuel,fuel,fuel
998,traveled,travel,travel,travel
999,beveled,bevel,bevel,bevel
1000,disheveled,dishevel,dishevel,dishevel
1001,leveled,level,level,level
1002,unleveled,unlevel,unlevel,unlevel
1003,reveled,revel,revel,revel
1004,shoveled,shovel,shovel,shovel
1005,marveled,marvel,marvel,marvel
1006,jeweled,jewel,jewel,jewel
1007,baffled,baffl,baffl,baffl
1008,shuffled,shuffl,shuffl,shuffl
1009,muffled,muffl,muffl,muffl
1010,ruffled,ruffl,ruffl,ruffl
1011,unruffled,unruffl,unruffl,unruffl
1012,rifled,rifl,rifl,rifl
1013,unrifled,unrifl,unrifl,unrifl
1014,stifled,stifl,stifl,stifl
1015,eagled,eagl,eagl,eagl
1016,bedraggled,bedraggl,bedraggl,bedraggl
1017,waggled,waggl,waggl,waggl
1018,giggled,giggl,giggl,giggl
1019,wiggled,wiggl,wiggl,wiggl
1020,boggled,boggl,boggl,boggl
1021,smuggled,smuggl,smuggl,smuggl
1022,snuggled,snuggl,snuggl,snuggl
1023,angled,angl,angl,angl
1024,dangled,dangl,dangl,dangl
1025,mangled,mangl,mangl,mangl
1026,spangled,spangl,spangl,spangl
1027,wrangled,wrangl,wrangl,wrangl
1028,tangled,tangl,tangl,tangl
1029,wangled,wangl,wangl,wangl
1030,jingled,jingl,jingl,jingl
1031,mingled,mingl,mingl,mingl
1032,commingled,commingl,commingl,commingl
1033,singled,singl,singl,singl
1034,bungled,bungl,bungl,bungl
1035,ogled,ogl,ogl,ogl
1036,failed,fail,fail,fail
1037,hailed,hail,hail,hail
1038,jailed,jail,jail,jail
1039,flailed,flail,flail,flail
1040,mailed,mail,mail,mail
1041,blackmailed,blackmail,blackmail,blackmail
1042,nailed,nail,nail,nail
1043,trailed,trail,trail,trail
1044,sailed,sail,sail,sail
1045,assailed,assail,assail,assail
1046,tailed,tail,tail,tail
1047,detailed,detail,detail,detail
1048,curtailed,curtail,curtail,curtail
1049,availed,avail,avail,avail
1050,prevailed,prevail,prevail,prevail
1051,wailed,wail,wail,wail
1052,domiciled,domicil,domicil,domicil
