,index,Original,Porter,Snowball
774,40303,frankly,frankli,frank
775,40304,pinkly,pinkli,pink
776,40305,darkly,darkli,dark
777,40306,starkly,starkli,stark
778,40307,briskly,briskli,brisk
779,40514,vocationally,vocat,vocate
780,40520,irrationally,irrat,irrate
781,40521,rotationally,rotat,rotate
782,40548,generally,gener,general
783,40710,unseemly,unseemli,unseem
784,40711,dimly,dimli,dim
785,40712,slimly,slimli,slim
786,40713,grimly,grimli,grim
787,40714,primly,primli,prim
788,40715,calmly,calmli,calm
789,40716,randomly,randomli,random
790,40717,warmly,warmli,warm
791,40718,firmly,firmli,firm
792,40719,uniformly,uniformli,uniform
793,40720,humly,humli,hum
794,40721,glumly,glumli,glum
795,40722,cleanly,cleanli,clean
796,40723,manly,manli,man
797,40724,gentlemanly,gentlemanli,gentleman
798,40725,womanly,womanli,woman
799,40726,unwomanly,unwomanli,unwoman
800,40727,humanly,humanli,human
801,40728,soddenly,soddenli,sodden
802,40729,suddenly,suddenli,sudden
803,40730,keenly,keenli,keen
804,40731,greenly,greenli,green
805,40732,mistakenly,mistakenli,mistaken
806,40733,drunkenly,drunkenli,drunken
807,40734,brokenly,brokenli,broken
808,40735,sullenly,sullenli,sullen
809,40736,openly,openli,open
810,40737,heavenly,heavenli,heaven
811,40738,evenly,evenli,even
812,40739,slovenly,slovenli,sloven
813,40740,brazenly,brazenli,brazen
814,40741,ungainly,ungainli,ungain
815,40742,plainly,plainli,plain
816,40743,mainly,mainli,main
817,40744,certainly,certainli,certain
818,40745,uncertainly,uncertainli,uncertain
819,40746,vainly,vainli,vain
820,40747,thinly,thinli,thin
821,40748,uncousinly,uncousinli,uncousin
822,40749,solemnly,solemnli,solemn
823,40751,commonly,commonli,common
824,40752,uncommonly,uncommonli,uncommon
825,40753,sternly,sternli,stern
826,40754,stubbornly,stubbornli,stubborn
827,40776,dearly,dearli,dear
828,40777,clearly,clearli,clear
829,40778,nearly,nearli,near
830,40779,linearly,linearli,linear
831,40780,rectlinearly,rectlinearli,rectlinear
832,40781,pearly,pearli,pear
833,40782,yearly,yearli,year
834,40783,familiarly,familiarli,familiar
835,40784,peculiarly,peculiarli,peculiar
836,40785,similarly,similarli,similar
837,40786,scholarly,scholarli,scholar
838,40787,spectacularly,spectacularli,spectacular
839,40788,perpendicularly,perpendicularli,perpendicular
840,40789,particularly,particularli,particular
841,40790,jocularly,jocularli,jocular
842,40791,intramuscularly,intramuscularli,intramuscular
843,40792,regularly,regularli,regular
844,40793,irregularly,irregularli,irregular
845,40794,singularly,singularli,singular
846,40795,popularly,popularli,popular
847,40796,kimberly,kimberli,kimber
848,40797,soberly,soberli,sober
849,40798,elderly,elderli,elder
850,40799,tenderly,tenderli,tender
851,40800,orderly,orderli,order
852,40801,disorderly,disorderli,disord
853,40802,eagerly,eagerli,eager
854,40803,gingerly,gingerli,ginger
855,40804,fatherly,fatherli,father
856,40805,motherly,motherli,mother
857,40806,brotherly,brotherli,brother
858,40807,northerly,northerli,norther
859,40808,soldierly,soldierli,soldier
860,40809,ackerly,ackerli,acker
861,40810,formerly,formerli,former
862,40811,properly,properli,proper
863,40812,improperly,improperli,improp
864,40813,quarterly,quarterli,quarter
865,40814,masterly,masterli,master
866,40815,westerly,westerli,wester
867,40816,bitterly,bitterli,bitter
868,40817,utterly,utterli,utter
869,40818,beverly,beverli,bever
870,40819,cleverly,cleverli,clever
871,40820,severly,severli,sever
872,40821,overly,overli,over
873,40822,fairly,fairli,fair
874,40823,unfairly,unfairli,unfair
875,40824,orly,orli,or
876,40825,sailorly,sailorli,sailor
877,40826,poorly,poorli,poor
878,40827,burly,burli,bur
879,40828,curly,curli,cur
880,40829,dourly,dourli,dour
881,40830,hourly,hourli,hour
882,40831,sourly,sourli,sour
883,40832,surly,surli,sur
884,40837,needlessly,needlessli,needless
885,40838,endlessly,endlessli,endless
886,40839,wordlessly,wordlessli,wordless
887,40840,tunelessly,tunelessli,tuneless
888,40841,hopelessly,hopelessli,hopeless
889,40842,carelessly,carelessli,careless
890,40843,tirelessly,tirelessli,tireless
891,40844,ceaselessly,ceaselessli,ceaseless
892,40845,senselessly,senselessli,senseless
893,40846,uselessly,uselessli,useless
894,40847,breathlessly,breathlessli,breathless
895,40848,ruthlessly,ruthlessli,ruthless
896,40849,mercilessly,mercilessli,merciless
897,40850,pitilessly,pitilessli,pitiless
898,40851,recklessly,recklessli,reckless
899,40852,dreamlessly,dreamlessli,dreamless
900,40853,aimlessly,aimlessli,aimless
901,40854,harmlessly,harmlessli,harmless
902,40855,painlessly,painlessli,painless
903,40856,sleeplessly,sleeplessli,sleepless
904,40857,helplessly,helplessli,helpless
905,40858,fearlessly,fearlessli,fearless
906,40859,thoughtlessly,thoughtlessli,thoughtless
907,40860,fruitlessly,fruitlessli,fruitless
908,40861,relentlessly,relentlessli,relentless
909,40862,effortlessly,effortlessli,effortless
910,40863,restlessly,restlessli,restless
911,40864,listlessly,listlessli,listless
912,40954,generously,gener,generous
913,40968,neatly,neatli,neat
914,40969,greatly,greatli,great
915,40970,flatly,flatli,flat
916,40971,subtly,subtli,subt
917,40972,compactly,compactli,compact
918,40973,abstractly,abstractli,abstract
919,40974,exactly,exactli,exact
920,40975,perfectly,perfectli,perfect
921,40976,imperfectly,imperfectli,imperfect
922,40977,abjectly,abjectli,abject
923,40978,circumspectly,circumspectli,circumspect
924,40979,directly,directli,direct
925,40980,indirectly,indirectli,indirect
926,40981,correctly,correctli,correct
927,40982,strictly,strictli,strict
928,40983,succinctly,succinctli,succinct
929,40984,distinctly,distinctli,distinct
930,40985,discreetly,discreetli,discreet
931,40986,sweetly,sweetli,sweet
932,40987,quietly,quietli,quiet
933,40988,secretly,secretli,secret
934,40989,wetly,wetli,wet
935,40990,swiftly,swiftli,swift
936,40991,softly,softli,soft
937,40992,lightly,lightli,light
938,40993,slightly,slightli,slight
939,40994,nightly,nightli,night
940,40995,knightly,knightli,knight
941,40996,rightly,rightli,right
942,40997,brightly,brightli,bright
943,40998,forthrightly,forthrightli,forthright
944,40999,sprightly,sprightli,spright
945,41000,unsightly,unsightli,unsight
946,41001,tightly,tightli,tight
947,41002,tacitly,tacitli,tacit
948,41003,implicitly,implicitli,implicit
949,41004,explicitly,explicitli,explicit
950,41005,significantly,significantli,signific
951,41006,abundantly,abundantli,abund
952,41007,discordantly,discordantli,discord
953,41008,elegantly,elegantli,eleg
954,41009,arrogantly,arrogantli,arrog
955,41010,triumphantly,triumphantli,triumphant
956,41011,defiantly,defiantli,defiant
957,41012,valiantly,valiantli,valiant
958,41013,brilliantly,brilliantli,brilliant
959,41014,jubilantly,jubilantli,jubil
960,41015,adamantly,adamantli,adam
961,41016,indignantly,indignantli,indign
962,41017,poignantly,poignantli,poignant
963,41018,indiscriminantly,indiscriminantli,indiscrimin
964,41019,dominantly,dominantli,domin
965,41020,predominantly,predominantli,predomin
966,41021,exuberantly,exuberantli,exuber
967,41022,preponderantly,preponderantli,preponder
968,41023,flagrantly,flagrantli,flagrant
969,41024,pleasantly,pleasantli,pleasant
970,41025,unpleasantly,unpleasantli,unpleas
971,41026,incessantly,incessantli,incess
972,41027,expectantly,expectantli,expect
973,41028,reluctantly,reluctantli,reluct
974,41029,militantly,militantli,milit
975,41030,hesitantly,hesitantli,hesit
976,41031,exultantly,exultantli,exult
977,41032,importantly,importantli,import
978,41033,distantly,distantli,distant
979,41034,equidistantly,equidistantli,equidist
980,41035,instantly,instantli,instant
981,41036,constantly,constantli,constant
982,41037,flamboyantly,flamboyantli,flamboy
983,41048,gently,gentli,gentl
984,41098,faintly,faintli,faint
985,41099,jointly,jointli,joint
986,41100,bluntly,bluntli,blunt
987,41101,hotly,hotli,hot
988,41102,aptly,aptli,apt
989,41103,ineptly,ineptli,inept
990,41104,nondescriptly,nondescriptli,nondescript
991,41105,promptly,promptli,prompt
992,41106,abruptly,abruptli,abrupt
993,41107,smartly,smartli,smart
994,41108,partly,partli,part
995,41109,tartly,tartli,tart
996,41110,alertly,alertli,alert
997,41111,expertly,expertli,expert
998,41112,overtly,overtli,overt
999,41113,covertly,covertli,covert
1000,41114,shortly,shortli,short
1001,41115,portly,portli,port
1002,41116,curtly,curtli,curt
1003,41117,courtly,courtli,court
1004,41118,steadfastly,steadfastli,steadfast
1005,41119,ghastly,ghastli,ghast
1006,41120,lastly,lastli,last
1007,41121,vastly,vastli,vast
1008,41122,modestly,modestli,modest
1009,41123,manifestly,manifestli,manifest
1010,41124,priestly,priestli,priest
1011,41125,honestly,honestli,honest
1012,41126,earnestly,earnestli,earnest
1013,41127,costly,costli,cost
1014,41128,ghostly,ghostli,ghost
1015,41129,mostly,mostli,most
1016,41130,justly,justli,just
1017,41131,stoutly,stoutli,stout
1018,41132,devoutly,devoutli,devout
1019,42007,irrationality,irration,irrate
1020,42008,directionality,direction,direct
1021,42009,conventionality,convention,convent
1022,42010,emotionality,emotion,emot
1023,42011,proportionality,proportion,proport
1024,42016,generality,gener,general
1025,42187,community,commun,communiti
1026,42289,procreativity,procr,procreat
1027,42290,relativity,rel,relat
