,index,Original,Porter,Snowball
184,29400,rbis,rbi,rbis
185,29420,phis,phi,phis
186,29437,lauchlis,lauchli,lauch
187,29455,karlis,karli,kar
188,29456,mis,mi,mis
189,29516,cris,cri,cris
190,29518,gris,gri,gris
191,29520,chris,chri,chris
192,29534,tris,tri,tris
193,29537,sis,si,sis
194,29601,tis,ti,tis
195,29630,vis,vi,vis
196,29642,wis,wi,wis
197,29648,cjs,cj,cjs
198,29962,generals,gener,general
199,30264,wwrls,wwrl,wwrls
200,30344,hms,hm,hms
201,30453,communisms,commun,communism
202,31130,communications,commun,communic
203,31241,generations,gener,generat
204,31320,generalizations,gener,general
205,31715,dos,do,dos
206,31742,whos,who,whos
207,31760,los,lo,los
208,31774,mos,mo,mos
209,31780,cosmos,cosmo,cosmos
210,31781,nos,no,nos
211,31809,bros,bro,bros
212,31820,pros,pro,pros
213,31826,sos,so,sos
214,31846,vos,vo,vos
215,31848,twos,two,twos
216,31877,cps,cp,cps
217,31891,fps,fp,fps
218,31940,mps,mp,mps
219,32092,drs,dr,drs
220,33008,jrs,jr,jrs
221,33009,mrs,mr,mrs
222,33087,communicators,commun,communic
223,33105,generators,gener,generat
224,33196,srs,sr,srs
225,33199,trs,tr,trs
226,33234,yrs,yr,yrs
227,34239,mts,mt,mts
228,34913,aaus,aau,aaus
229,34914,rameaus,rameau,rameaus
230,34915,thoreaus,thoreau,thoreaus
231,34916,bureaus,bureau,bureaus
232,34917,rousseaus,rousseau,rousseaus
233,34918,althaus,althau,althaus
234,34919,morgenthaus,morgenthau,morgenthaus
235,34920,konzerthaus,konzerthau,konzerthaus
236,34921,bauhaus,bauhau,bauhaus
237,34922,claus,clau,claus
238,34923,menelaus,menelau,menelaus
239,34924,klaus,klau,klaus
240,34925,nicklaus,nicklau,nicklaus
241,34926,fledermaus,fledermau,fledermaus
242,34927,nassaus,nassau,nassaus
243,34928,bus,bu,bus
244,34929,revolutionibus,revolutionibu,revolutionibus
245,34930,bombus,bombu,bombus
246,34931,columbus,columbu,columbus
247,34932,incubus,incubu,incubus
248,34933,streptococcus,streptococcu,streptococcus
249,34934,copernicus,copernicu,copernicus
250,34935,anticus,anticu,anticus
251,34936,anhemolyticus,anhemolyticu,anhemolyticus
252,34937,demodocus,demodocu,demodocus
253,34938,focus,focu,focus
254,34939,locus,locu,locus
255,34940,arcus,arcu,arcus
256,34941,barcus,barcu,barcus
257,34942,marcus,marcu,marcus
258,34943,circus,circu,circus
259,34944,damascus,damascu,damascus
260,34945,tcus,tcu,tcus
261,34946,caucus,caucu,caucus
262,34947,mucus,mucu,mucus
263,34948,hindus,hindu,hindus
264,34949,modus,modu,modus
265,34950,exodus,exodu,exodus
266,34951,irenaeus,irenaeu,irenaeus
267,34952,piraeus,piraeu,piraeus
268,34953,maccabeus,maccabeu,maccabeus
269,34954,deus,deu,deus
270,34955,amadeus,amadeu,amadeus
271,34956,thaddeus,thaddeu,thaddeus
272,34957,mastoideus,mastoideu,mastoideus
273,34958,cepheus,cepheu,cepheus
274,34959,orpheus,orpheu,orpheus
275,34960,prometheus,prometheu,prometheus
276,34961,nucleus,nucleu,nucleus
277,34962,atreus,atreu,atreus
278,34963,odysseus,odysseu,odysseus
279,34964,zeus,zeu,zeus
280,34965,rufus,rufu,rufus
281,34966,gus,gu,gus
282,34967,asparagus,asparagu,asparagus
283,34968,mingus,mingu,mingus
284,34969,fungus,fungu,fungus
285,34970,mungus,mungu,mungus
286,34971,bogus,bogu,bogus
287,34972,bacchus,bacchu,bacchus
288,34973,bronchus,bronchu,bronchus
289,34974,josephus,josephu,josephus
290,34975,adolphus,adolphu,adolphus
291,34976,typhus,typhu,typhus
292,34977,thus,thu,thus
293,34978,caius,caiu,caius
294,34979,fabricius,fabriciu,fabricius
295,34980,mencius,menciu,mencius
296,34981,marcius,marciu,marcius
297,34982,confucius,confuciu,confucius
298,34983,lucius,luciu,lucius
299,34984,gladius,gladiu,gladius
300,34985,radius,radiu,radius
301,34986,regius,regiu,regius
302,34987,aurelius,aureliu,aurelius
303,34988,julius,juliu,julius
304,34989,gastrocnemius,gastrocnemiu,gastrocnemius
305,34990,genius,geniu,genius
306,34991,nennius,nenniu,nennius
307,34992,pius,piu,pius
308,34993,darius,dariu,darius
309,34994,ordinarius,ordinariu,ordinarius
310,34995,notarius,notariu,notarius
311,34996,gregorius,gregoriu,gregorius
312,34997,demetrius,demetriu,demetrius
313,34998,theodosius,theodosiu,theodosius
314,34999,cassius,cassiu,cassius
315,35000,carausius,carausiu,carausius
316,35001,servatius,servatiu,servatius
317,35002,torpetius,torpetiu,torpetius
318,35003,lucretius,lucretiu,lucretius
319,35004,maxentius,maxentiu,maxentius
320,35005,pontius,pontiu,pontius
321,35006,propertius,propertiu,propertius
322,35007,trikojus,trikoju,trikojus
323,35008,ruckus,rucku,ruckus
324,35009,minkus,minku,minkus
325,35010,sardanapalus,sardanapalu,sardanapalus
326,35011,corneilus,corneilu,corneilus
327,35012,nautilus,nautilu,nautilus
328,35013,gallus,gallu,gallus
329,35014,marcellus,marcellu,marcellus
330,35015,bacillus,bacillu,bacillus
331,35016,apergillus,apergillu,apergillus
332,35017,alveolus,alveolu,alveolus
333,35018,brownapopolus,brownapopolu,brownapopolus
334,35019,plus,plu,plus
335,35020,surplus,surplu,surplus
336,35021,paulus,paulu,paulus
337,35022,regulus,regulu,regulus
338,35023,stimulus,stimulu,stimulus
339,35024,cumulus,cumulu,cumulus
340,35025,aeschylus,aeschylu,aeschylus
341,35026,nostradamus,nostradamu,nostradamus
342,35027,mandamus,mandamu,mandamus
343,35028,hypothalamus,hypothalamu,hypothalamus
344,35029,ignoramus,ignoramu,ignoramus
345,35030,demus,demu,demus
346,35031,nicodemus,nicodemu,nicodemus
347,35032,hemus,hemu,hemus
348,35033,remus,remu,remus
349,35034,serenissimus,serenissimu,serenissimus
350,35035,lummus,lummu,lummus
351,35036,comus,comu,comus
352,35037,smus,smu,smus
353,35038,hieronymus,hieronymu,hieronymus
354,35039,pandanus,pandanu,pandanus
355,35040,janus,janu,janus
356,35041,coriolanus,coriolanu,coriolanus
357,35042,tetanus,tetanu,tetanus
358,35043,genus,genu,genus
359,35044,alienus,alienu,alienus
360,35045,menus,menu,menus
361,35046,venus,venu,venus
362,35047,ainus,ainu,ainus
363,35048,linus,linu,linus
364,35049,minus,minu,minus
365,35050,terminus,terminu,terminus
366,35051,sinus,sinu,sinus
367,35052,onus,onu,onus
368,35053,bonus,bonu,bonus
369,35054,colonus,colonu,colonus
370,35055,viscous,viscou,viscous
371,35056,raucous,raucou,raucous
372,35061,hideous,hideou,hideous
373,35066,gorgeous,gorgeou,gorgeous
374,35075,igneous,igneou,igneous
375,35080,gaseous,gaseou,gaseous
376,35081,osseous,osseou,osseous
377,35082,righteous,righteou,righteous
378,35083,piteous,piteou,piteous
379,35084,courteous,courteou,courteous
380,35086,beauteous,beauteou,beauteous
381,35087,aqueous,aqueou,aqueous
382,35093,dubious,dubiou,dubious
383,35100,spacious,spaciou,spacious
384,35102,gracious,graciou,gracious
385,35106,specious,speciou,specious
386,35107,precious,preciou,precious
387,35119,vicious,viciou,vicious
388,35122,conscious,consciou,conscious
389,35126,luscious,lusciou,luscious
390,35127,tedious,tediou,tedious
391,35131,odious,odiou,odious
392,35133,studious,studiou,studious
393,35146,pious,piou,pious
394,35147,impious,impiou,impious
395,35148,copious,copiou,copious
396,35153,various,variou,various
397,35156,serious,seriou,serious
398,35159,glorious,gloriou,glorious
399,35167,curious,curiou,curious
400,35169,furious,furiou,furious
401,35172,spurious,spuriou,spurious
402,35178,fractious,fractiou,fractious
403,35194,captious,captiou,captious
404,35195,bumptious,bumptiou,bumptious
405,35196,scrumptious,scrumptiou,scrumptious
406,35197,cautious,cautiou,cautious
407,35200,obvious,obviou,obvious
408,35201,devious,deviou,devious
409,35202,previous,previou,previous
410,35205,envious,enviou,envious
411,35207,anxious,anxiou,anxious
412,35208,noxious,noxiou,noxious
413,35211,jealous,jealou,jealous
414,35212,zealous,zealou,zealous
415,35218,callous,callou,callous
416,35233,famous,famou,famous
417,35263,ruinous,ruinou,ruinous
418,35271,pompous,pompou,pompous
419,35273,scabrous,scabrou,scabrous
420,35275,fibrous,fibrou,fibrous
421,35277,wondrous,wondrou,wondrous
422,35278,hydrous,hydrou,hydrous
423,35288,generous,gener,generous
424,35307,porous,porou,porous
425,35310,monstrous,monstrou,monstrous
426,35311,lustrous,lustrou,lustrous
427,35312,dextrous,dextrou,dextrous
428,35327,riotous,riotou,riotous
